,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
152,San Jose,37.3394,-121.895,46.0,93,90,2.04,US,1611923563
153,Sept-Îles,50.2001,-66.3821,5.0,66,6,9.22,CA,1611923522
154,Coquimbo,-29.9533,-71.3436,59.0,88,90,3.44,CL,1611923670
155,Kruisfontein,-34.0033,24.7314,77.0,56,0,11.99,ZA,1611923794
156,Zhigansk,66.7697,123.3711,-48.03,75,51,9.93,RU,1611923794
157,Villa Bruzual,9.3328,-69.1208,77.09,63,65,5.46,VE,1611923795
158,Oleksandrivka,46.8383,32.7612,37.4,70,0,17.9,UA,1611923796
159,Fairbanks,64.8378,-147.7164,3.99,84,1,2.95,US,1611923796
160,Senador José Porfírio,-2.5908,-51.9542,79.27,77,75,3.02,BR,1611923798
161,Dunedin,-45.8742,170.5036,50.0,78,55,7.0,NZ,1611923799
162,Candolim,15.5181,73.7626,102.2,30,80,8.05,IN,1611923800
163,Anloga,5.7947,0.8973,91.4,62,20,10.36,GH,1611923801
164,Paldiski,59.3567,24.0531,30.2,93,90,10.36,EE,1611923801
165,Mahon,39.8885,4.2658,69.8,56,0,9.22,ES,1611923514
166,Manggar,-2.8833,108.2667,79.07,83,100,13.27,ID,1611923804
167,North Platte,41.1239,-100.7654,15.8,79,20,4.54,US,1611923805
168,Padang,-0.9492,100.3543,82.4,74,75,4.61,ID,1611923805
169,São Félix do Xingu,-6.6447,-51.995,83.1,68,98,1.25,BR,1611923806
170,Kavieng,-2.5744,150.7967,83.61,77,64,12.28,PG,1611923807
171,Tynda,55.1667,124.7167,-29.72,81,100,3.11,RU,1611923807
172,Tomatlán,19.9333,-105.25,68.81,52,0,2.91,MX,1611923808
173,Kodinsk,58.6881,99.1844,-24.29,82,100,6.55,RU,1611923725
174,Lorengau,-2.0226,147.2712,82.92,77,45,10.07,PG,1611923809
175,Gurlan,41.8447,60.3919,55.4,33,37,13.8,UZ,1611923810
176,Saint-François,46.4154,3.9054,53.6,62,90,19.57,FR,1611923811
177,Tautira,-17.7333,-149.15,75.2,69,90,4.61,PF,1611923812
178,Port Lincoln,-34.7333,135.8667,63.16,76,80,15.12,AU,1611923812
179,Margherita,27.2833,95.6833,75.2,69,40,3.06,IN,1611923813
180,Carnarvon,-24.8667,113.6333,84.2,70,0,19.57,AU,1611923814
181,College,64.8569,-147.8028,3.99,71,75,3.36,US,1611923814
182,Karatuzskoye,53.6072,92.8667,24.31,96,100,5.75,RU,1611923815
183,The Valley,18.217,-63.0578,78.8,94,20,2.3,AI,1611923816
184,Keetmanshoop,-26.5833,18.1333,89.6,13,0,5.75,NA,1611923816
185,Hvolsvollur,63.7533,-20.2243,37.4,75,75,9.22,IS,1611923817
186,Chudniv,50.052,28.1175,27.93,93,78,15.37,UA,1611923817
187,Kushima,31.4583,131.2333,35.6,55,20,17.27,JP,1611923818
188,Martapura,-3.4167,114.85,77.0,94,75,1.41,ID,1611923819
189,‘Ewa Beach,21.3156,-158.0072,71.6,68,20,4.61,US,1611923819
190,Lagoa,39.05,-27.9833,59.13,71,100,24.25,PT,1611923821
191,Goderich,43.7501,-81.7165,24.8,74,100,23.02,CA,1611923822
192,Madang,-5.2246,145.7966,78.62,84,100,4.56,PG,1611923822
193,Dhidhdhoo,6.8833,73.1,81.52,63,0,8.59,MV,1611923823
194,Joshīmath,30.5667,79.5667,38.39,52,99,1.39,IN,1611923824
195,Jaranwala,31.3333,73.4333,58.48,32,0,2.91,PK,1611923824
196,Leh,34.1667,77.5833,5.25,70,7,1.86,IN,1611923825
197,Montmagny,48.9734,2.3469,53.01,71,75,20.71,FR,1611923826
198,Ubari,26.5921,12.7805,70.11,23,0,6.6,LY,1611923826
199,Gloversville,43.0528,-74.3438,-0.99,71,90,11.5,US,1611923827
200,Osmeña,10.5208,119.9258,80.4,77,28,27.13,PH,1611923828
201,Retz,48.7494,15.9624,41.0,96,100,4.12,AT,1611923829
202,Airai,-8.9266,125.4092,62.38,100,100,4.54,TL,1611923830
203,Port Elizabeth,-33.918,25.5701,75.2,57,0,17.27,ZA,1611923830
204,Perth,-31.9333,115.8333,84.2,17,0,10.36,AU,1611923659
205,Yar-Sale,66.8333,70.8333,-40.25,80,5,8.63,RU,1611923832
206,Watrous,51.6668,-105.4679,14.0,85,100,10.36,CA,1611923833
207,São Filipe,14.8961,-24.4956,78.6,50,100,9.44,CV,1611923833
208,Novikovo,51.1537,37.8879,29.26,97,100,17.67,RU,1611923834
209,Havelock,34.8791,-76.9013,28.4,69,1,10.36,US,1611923835
210,Whitehorse,60.7161,-135.0538,-2.99,77,90,24.16,CA,1611923836
211,Abhā,18.2164,42.5053,71.6,28,20,11.5,SA,1611923836
212,Monthey,46.2555,6.9607,50.0,93,75,3.44,CH,1611923837
213,Tiznit Province,29.5833,-9.5,74.5,27,0,6.67,MA,1611923838
214,Marsá Maţrūḩ,31.3525,27.2453,60.8,55,40,17.27,EG,1611923833
215,Salento,4.6375,-75.5703,64.4,100,90,2.3,CO,1611923839
216,Saskylakh,71.9167,114.0833,-39.69,78,2,3.56,RU,1611923840
217,Kemijärvi,66.7131,27.4306,11.21,95,100,7.34,FI,1611923840
218,Pacifica,37.6138,-122.4869,46.0,100,20,1.95,US,1611923693
219,Pabradė,55.0,25.7833,26.01,86,90,9.22,LT,1611923842
220,Portland,45.5234,-122.6762,39.99,93,90,1.61,US,1611923588
221,Biak,-0.9131,122.8766,77.56,65,78,5.41,ID,1611923843
222,Springfield,37.2153,-93.2982,28.99,80,1,11.5,US,1611923786
223,Kuusamo,65.9667,29.1833,14.0,85,75,6.91,FI,1611923845
224,Uthal,25.8072,66.6219,68.83,39,0,9.55,PK,1611923846
225,Carutapera,-1.195,-46.02,84.74,68,65,7.9,BR,1611923846
226,Santiago de Cuba,20.0247,-75.8219,69.8,94,40,6.91,CU,1611923591
227,Walvis Bay,-22.9575,14.5053,75.2,60,11,12.66,NA,1611923588
228,Luganville,-15.5333,167.1667,78.89,81,100,1.41,VU,1611923849
229,Shalya,57.2471,58.7298,28.42,94,100,9.22,RU,1611923850
230,Pevek,69.7008,170.3133,-27.47,87,13,1.68,RU,1611923850
231,Puerto del Rosario,28.5004,-13.8627,69.8,73,0,6.91,ES,1611923851
232,Mikuni,36.2171,136.1519,35.6,69,75,25.32,JP,1611923851
233,Sitka,57.0531,-135.33,35.6,55,90,18.41,US,1611923852
234,Cabedelo,-6.9811,-34.8339,84.2,70,75,11.5,BR,1611923619
235,Somers Point,39.3176,-74.5946,24.8,42,40,27.63,US,1611923853
236,Khovd,48.0056,91.6419,13.28,76,100,0.49,MN,1611923854
237,Cidreira,-30.1811,-50.2056,80.44,75,2,4.74,BR,1611923855
238,Bandar-e Lengeh,26.5579,54.8807,75.2,60,5,11.5,IR,1611923855
239,Faya,18.3851,42.4509,71.6,28,20,11.5,SA,1611923856
240,Roald,62.5833,6.1333,32.0,93,75,13.8,NO,1611923857
241,Dauphin,51.1494,-100.0502,10.4,85,90,8.05,CA,1611923857
242,Lucapa,-8.4192,20.7447,82.94,59,13,4.21,AO,1611923858
243,Nabire,-3.3667,135.4833,75.83,95,100,0.38,ID,1611923859
244,Soyo,-6.1349,12.3689,86.0,79,75,5.75,AO,1611923860
245,Iqaluit,63.7506,-68.5145,-13.0,70,1,21.85,CA,1611923860
246,Serafimovich,49.5786,42.736,37.0,73,35,4.0,RU,1611923861
247,Bay Roberts,47.5999,-53.2648,25.0,86,75,6.91,CA,1611923863
248,Tiksi,71.6872,128.8694,-31.2,85,65,2.64,RU,1611923864
249,Obeliai,55.9667,25.15,26.91,98,100,11.97,LT,1611923864
250,Egvekinot,66.3167,-179.1667,-20.81,83,5,18.88,RU,1611923865
251,Bathsheba,13.2167,-59.5167,77.0,83,40,10.36,BB,1611923866
252,Gigmoto,13.7796,124.39,76.05,79,100,21.18,PH,1611923866
253,Arrondissement de Mayenne,48.3333,-0.6667,53.6,62,20,20.71,FR,1611923867
254,Bontang,0.1333,117.5,79.63,80,100,1.77,ID,1611923867
255,Kununurra,-15.7667,128.7333,80.6,94,90,10.36,AU,1611923868
256,Griffith,41.5284,-87.4237,17.01,79,1,4.05,US,1611923838
257,Batticaloa,7.7102,81.6924,75.47,92,100,8.12,LK,1611923869
258,Chodzież,52.995,16.9198,36.0,91,58,1.99,PL,1611923870
259,Tual,-5.6667,132.75,82.9,75,100,17.34,ID,1611923871
260,Castiglione del Lago,43.1271,12.0453,54.0,85,100,10.0,IT,1611923871
261,Rocha,-34.4833,-54.3333,77.36,47,47,4.54,UY,1611923872
262,Berbérati,4.2612,15.7922,100.76,18,3,3.65,CF,1611923710
263,Mezhova,48.2532,36.7347,36.12,80,100,15.21,UA,1611923873
264,Caravelas,-17.7125,-39.2481,83.88,62,1,9.66,BR,1611923874
265,Kaseda-shirakame,31.4167,130.3167,32.0,74,20,4.61,JP,1611923875
266,Kamenka,51.3223,42.7678,34.0,77,29,10.78,RU,1611923875
267,São João da Barra,-21.6403,-41.0511,86.0,54,0,8.05,BR,1611923876
268,Sur,22.5667,59.5289,73.11,38,0,8.21,OM,1611923877
269,Thika,-1.0333,37.0693,82.4,36,40,16.11,KE,1611923878
270,Meulaboh,4.1363,96.1285,78.82,80,96,0.85,ID,1611923878
271,Davila,18.4726,120.5763,73.4,68,40,5.75,PH,1611923879
272,Champawat,29.3333,80.1,37.65,71,0,0.96,IN,1611923880
273,Oktyabr'skiy,54.4815,53.471,23.49,96,100,8.37,RU,1611923829
274,Ponta do Sol,32.6667,-17.1,62.6,77,75,5.75,PT,1611923882
275,Qaqortoq,60.7167,-46.0333,44.6,31,75,41.43,GL,1611923883
276,Anadyr,64.75,177.4833,-14.01,76,0,2.24,RU,1611923884
277,Departamento de Maldonado,-34.6667,-54.9167,75.99,57,75,3.44,UY,1611923884
278,Pitimbu,-7.4706,-34.8086,84.2,70,75,11.5,BR,1611923885
279,Sinnamary,5.3833,-52.95,78.94,86,39,8.63,GF,1611923886
280,San Miguel de Cozumel,20.5083,-86.9458,73.4,68,40,8.05,MX,1611923886
281,Zwedru,6.0667,-8.1281,87.22,57,97,2.91,LR,1611923887
282,Shingū,33.7333,135.9833,34.18,83,0,10.51,JP,1611923888
283,Donskoye,45.4552,41.9741,32.0,93,90,4.47,RU,1611923888
284,Bubaque,11.2833,-15.8333,78.26,52,29,3.47,GW,1611923889
285,Rio Grande,-32.035,-52.0986,79.0,83,40,4.61,BR,1611923889
286,Salinópolis,-0.6136,-47.3561,83.01,75,36,11.45,BR,1611923890
287,Te Anau,-45.4167,167.7167,40.48,88,4,2.13,NZ,1611923891
288,Ayan,56.45,138.1667,-8.18,85,100,3.13,RU,1611923891
289,Selenginsk,52.0064,106.8647,-7.6,59,20,4.61,RU,1611923892
290,Lavrentiya,65.5833,-171.0,-18.35,82,70,11.65,RU,1611923893
291,Mayo,38.8876,-76.5119,25.0,50,1,10.36,US,1611923893
292,Mossamedes,-15.1961,12.1522,78.8,61,75,10.36,AO,1611923894
293,Muyezerskiy,63.9333,31.65,17.96,97,100,10.6,RU,1611923895
294,Beisfjord,68.3751,17.5988,17.6,57,0,10.36,NO,1611923896
295,Nizhniy Ingash,56.2,96.53,-9.99,90,100,2.48,RU,1611923897
296,Voh,-20.9667,164.7,75.78,84,97,4.5,NC,1611923898
297,Kyra,49.5776,111.9753,-17.25,79,14,3.15,RU,1611923898
298,Pochutla,15.7432,-96.4661,71.01,81,66,1.01,MX,1611923899
299,Wad Medani,14.4012,33.5199,93.38,9,0,19.44,SD,1611923900
300,Tāsgaon,17.0333,74.6,81.05,34,100,0.43,IN,1611923900
301,Ancud,-41.8697,-73.8203,61.0,82,0,6.91,CL,1611923901
302,Cayenne,4.9333,-52.3333,78.8,94,75,1.14,GF,1611923792
303,Naryan-Mar,67.6713,53.087,-25.74,82,100,9.53,RU,1611923902
304,Avarua,-21.2078,-159.775,78.8,83,75,8.05,CK,1611923903
305,Bar Harbor,44.3876,-68.2039,17.01,85,90,12.66,US,1611923903
306,Clyde River,70.4692,-68.5914,-11.2,84,1,6.91,CA,1611923904
307,Nhamundá,-2.1861,-56.7131,83.12,73,66,1.36,BR,1611923905
308,Amahai,-3.3333,128.9167,78.73,74,100,6.24,ID,1611923906
309,Saint Paul Harbor,57.79,-152.4072,33.8,69,90,17.27,US,1611923906
310,Bonthe,7.5264,-12.505,86.52,59,54,5.35,SL,1611923907
311,Rawson,-43.3002,-65.1023,65.23,32,0,15.77,AR,1611923908
312,Cabo San Lucas,22.8909,-109.9124,60.01,82,20,2.3,MX,1611923908
313,Tambacounda,13.7539,-13.7586,93.2,10,0,11.5,SN,1611923909
314,Banepā,27.6298,85.5214,55.4,50,20,8.05,NP,1611923910
315,Souillac,-20.5167,57.5167,86.0,66,40,12.66,MU,1611923911
316,Chui,-33.6971,-53.4616,80.51,63,4,2.48,UY,1611923911
317,Alappuzha,9.49,76.3264,80.11,72,25,8.95,IN,1611923912
318,Havre-St-Pierre,50.2334,-63.5986,6.8,66,90,11.5,CA,1611923913
319,Hudson Bay,52.85,-102.3842,5.67,94,100,4.0,CA,1611923914
320,La Santisima Trinidad,-14.8333,-64.9,77.54,86,99,9.33,BO,1611923915
321,Beringovskiy,63.05,179.3167,-10.88,87,100,14.18,RU,1611923915
322,Salalah,17.0151,54.0924,78.8,53,20,9.22,OM,1611923916
323,Maragogi,-9.0122,-35.2225,82.76,66,99,7.92,BR,1611923917
324,Kamaishi,39.2667,141.8833,29.01,90,15,17.22,JP,1611923849
325,Nantucket,41.2835,-70.0995,12.99,67,20,23.02,US,1611923918
326,Kaitangata,-46.2817,169.8464,51.01,78,25,3.0,NZ,1611923918
327,Waddān,29.1614,16.139,68.25,37,0,7.58,LY,1611923919
328,Sangar,63.9242,127.4739,-51.68,76,99,2.39,RU,1611923920
329,Gamboula,4.1178,15.1393,98.13,18,29,6.13,CF,1611923920
330,Sapouy,11.5544,-1.7736,96.12,9,0,11.97,BF,1611923921
331,Stettler,52.3168,-112.7186,-0.4,100,100,1.14,CA,1611923922
332,Necochea,-38.5473,-58.7368,70.0,64,100,8.68,AR,1611923922
333,Sindor,62.8629,51.8905,9.72,95,100,10.54,RU,1611923923
334,Planaltina,-15.4528,-47.6142,77.0,53,0,3.44,BR,1611923902
335,Howard Springs,-12.497,131.047,79.0,94,75,19.57,AU,1611923926
336,Hong Kong,22.2855,114.1577,63.0,71,0,1.01,HK,1611923685
337,Chaadayevka,53.1427,45.9122,28.0,67,100,6.33,RU,1611923927
338,Lázaro Cárdenas,17.9583,-102.2,72.61,65,100,4.12,MX,1611923659
339,Akdepe,42.0551,59.3788,55.4,30,0,11.5,TM,1611923930
340,Bulgan,48.8125,103.5347,18.55,87,100,9.89,MN,1611923931
341,Kumul,42.8,93.45,23.04,82,0,2.89,CN,1611923932
342,Vardø,70.3705,31.1107,19.4,86,75,18.41,NO,1611923933
343,Bengkulu,-3.8004,102.2655,77.47,85,100,4.85,ID,1611923934
344,Arrondissement de Sedan,49.6667,5.0,48.0,79,100,15.01,FR,1611923935
345,Talnakh,69.4865,88.3972,-30.96,68,0,0.16,RU,1611923935
346,Mayumba,-3.432,10.6554,81.14,76,100,4.85,GA,1611923936
347,Labuhan,-6.8844,112.2051,78.48,86,100,15.48,ID,1611923938
348,Vigrestad,58.5667,5.7,33.8,55,0,3.44,NO,1611923938
349,Butere,0.2064,34.4935,87.8,35,20,11.5,KE,1611923939
350,Lincoln,40.8,-96.667,21.99,91,9,7.65,US,1611923735
351,Tabuk,17.4189,121.4443,65.62,90,100,8.59,PH,1611923941
352,Vila Franca do Campo,37.7167,-25.4333,62.01,88,20,17.27,PT,1611923942
353,Valparaíso,-33.0393,-71.6273,64.4,63,0,10.36,CL,1611923942
354,Innisfail,-17.5333,146.0333,76.17,89,100,5.03,AU,1611923943
355,Kargil,34.5667,76.1,-0.99,85,1,1.57,IN,1611923943
